Datei;Beschichtung;Zwischenschicht;Normalkraft [N];Frequenz [Hz];Bewegungshub [µm];Widerstand bei 1 Zyklen;Widerstand bei 2 Zyklen;Widerstand bei 5 Zyklen;Widerstand bei 10 Zyklen;Widerstand bei 20 Zyklen;Widerstand bei 50 Zyklen;Widerstand bei 100 Zyklen;Widerstand bei 500 Zyklen;Widerstand bei 1000 Zyklen;Widerstand bei 2000 Zyklen;Widerstand bei 5000 Zyklen;Widerstand bei 10000 Zyklen;Widerstand bei 20000 Zyklen;Widerstand bei 50000 Zyklen;Widerstand bei 100000 Zyklen;Widerstand bei 200000 Zyklen;Widerstand bei 500000 Zyklen
AgCu-200µm-1N-75000zyklen-V1.txt;Ag;;1;1;200;1,465996;1,547894;1,579794;1,629192;1,619235;1,455973;1,937921;1,49455;1,530889;1,550171;1,528329;1,626814;1,668844;5,1938;;;
AgCu-200µm-2,5N-6100zyklen-V1.txt;Ag;;2,5;1;200;1,608762;1,695852;1,282806;1,170404;1,150941;1,089186;1,168307;1,102791;1,110848;1,019106;1,120358;;;;;;
AgCu-200µm-2,5N-29000zyklen-V1.txt;Ag;;2,5;1;200;1,385395;1,453173;1,498595;1,403787;1,289806;1,215302;1,039425;1,056797;1,016538;1,027033;1,190448;1,113191;1,994582;;;;
AgCu-200µm-5N-3000zyklen-V1.txt;Ag;;5;1;200;1,679963;1,877753;1,43982;1,408563;1,343268;1,060742;0,930964;0,866865;0,841823;0,918899;;;;;;;
AgCu-200µm-5N-13000zyklen-V1.txt;Ag;;5;1;200;1,248355;1,247034;1,108863;1,034179;0,979601;0,921278;0,897996;0,856029;0,920479;0,915048;1,019557;1,127968;;;;;
Ag_Cu_100ZyklenV1.txt;Ag;;2;2;100;2,788036;4,279701;8,312326;4,445963;1,787037;1,549443;1,458579;;;;;;;;;;
Ag_Cu_100ZyklenV2.txt;Ag;;2;2;100;1,542802;1,542937;1,564392;1,528544;1,488277;1,496778;1,41914;;;;;;;;;;
Ag_Cu_100ZyklenV3.txt;Ag;;2;2;100;3,859698;3,859415;3,794422;5,304443;2,861663;1,810385;2,020912;;;;;;;;;;
Ag_Cu_250ZyklenV1.txt;Ag;;2;2;100;2,395598;2,423182;2,434468;2,326752;2,298571;2,210256;2,262027;;;;;;;;;;
Ag_Cu_250ZyklenV3.txt;Ag;;2;2;100;2,232117;2,352187;2,933168;3,204039;2,651949;1,983629;1,984016;;;;;;;;;;
Ag_Cu_500ZyklenV1.txt;Ag;;2;2;100;1,34252;1,450389;1,81714;1,521227;1,383461;1,263061;1,227348;1,248348;;;;;;;;;
Ag_Cu_500ZyklenV2.txt;Ag;;2;2;100;4,554316;4,55395;4,574219;4,58907;4,192291;3,050294;2,431697;2,231468;;;;;;;;;
Ag 300 V1.txt;Ag;;2;2;100;1,512385;1,596683;1,813938;1,752043;1,501878;1,471959;1,27311;1,340079;1,523753;2,237964;3,263566;11,963492;;;;;
Ag 300 V2.txt;Ag;;2;2;100;2,199285;2,25278;2,51006;2,606112;2,484568;2,175756;2,092294;1,973766;2,092077;2,258522;3,082732;8,153576;28,417231;;;;
Ag 300 V3.txt;Ag;;2;2;100;2,26667;1,96566;1,31539;1,04425;0,602355;0,859518;0,666112;0,715102;0,592611;0,468927;0,427257;0,494635;1,82552;;;;
Ag 300 V4.txt;Ag;;2;2;100;3,00395;3,005817;3,162622;3,092441;2,961894;2,918761;2,928839;3,646873;4,045049;3,736465;3,257385;3,142563;4,876758;;;;
Ag 300 V5.txt;Ag;;2;2;100;2,187973;2,162864;3,128829;1,94045;1,882046;1,861222;1,816653;1,846262;2,094527;3,248513;3,205834;9,138862;;;;;
2019-06-24_09-50_4.txt;Ag;;3;1;200;1,463606;1,662631;2,639498;3,097021;5,034319;5,946236;10,898393;51,038634;9,478086;3,260571;1,06373;12,327327;;;;;
B3R4,5_5N_400µm_25000_210305.txt;Ag;;4;1;400;2,040981;2,928359;2,262773;2,516893;1,58173;1,458704;1,375237;1,347467;1,329443;1,404579;1,533316;1,798492;10,682812;;;;
Ag_20N_300mOhm_V2.txt;Ag;;20;2;100;0,864234;0,855971;0,899418;0,898265;0,796127;0,764837;0,890826;0,834491;;;;;;;;;
Ag_20N_300mOhm_V3 ohne Regelung.txt;Ag;;20;2;100;0,771344;0,748301;0,842714;0,822988;0,759627;0,806126;0,888081;0,716471;0,870009;0,702651;;;;;;;
AgNi 1000 V1 KW25.txt;Ag;Ni;2;2;100;4,642383;4,643651;4,704165;4,616051;4,572342;4,513025;4,718791;4,665218;4,623614;;;;;;;;
AgNi 1000 V2 KW25.txt;Ag;Ni;2;2;100;3,473639;3,471987;3,615611;3,589567;3,566898;3,397015;3,441587;3,917246;5,766652;;;;;;;;
AgNi 1500 V1 KW25.txt;Ag;Ni;2;2;100;4,295654;4,30001;4,557288;5,284096;4,537059;5,157683;5,124578;4,88609;6,272063;;;;;;;;
AgNi 1500 V2 KW25.txt;Ag;Ni;2;2;100;4,823703;4,824684;4,848741;4,821285;4,890272;4,88199;4,846467;5,169429;5,001412;4,579613;;;;;;;
AgNi 100 V1 KW25.txt;Ag;Ni;2;2;100;4,162294;4,185801;4,410454;4,299049;4,150541;4,246315;4,237745;;;;;;;;;;
AgNi 100 V2 KW25.txt;Ag;Ni;2;2;100;7,716129;7,733005;8,330126;8,379963;8,061188;7,756894;7,56932;;;;;;;;;;
AgNi 2500 V1.txt;Ag;Ni;2;2;100;6,828845;6,827385;6,587218;4,77285;4,986445;6,537023;9,391288;26,343387;58,267631;6,178343;;;;;;;
AgNi 2500 V2.txt;Ag;Ni;2;2;100;3,460334;3,563935;4,016689;5,2348;6,339114;9,716797;32,769814;3,215166;3,575473;4,400455;;;;;;;
AgNi 200 V1 KW25.txt;Ag;Ni;2;2;100;2,009158;2,034053;2,771691;6,01369;12,963246;31,685423;45,896303;;;;;;;;;;
AgNi 200 V2 KW25.txt;Ag;Ni;2;2;100;2,226478;2,233516;5,350016;11,722161;13,184571;37,958887;44,571459;;;;;;;;;;
AgNi 300 V2 KW25.txt;Ag;Ni;2;2;100;5,421757;5,434708;5,487418;5,492109;5,494025;5,454288;5,554801;;;;;;;;;;
AgNi 300 Zyklen V3.txt;Ag;Ni;2;2;100;1,542359;1,561173;1,628557;1,611705;1,522682;1,13346;1,708963;;;;;;;;;;
AgNi 300 V1.txt;Ag;Ni;2;2;100;2,681893;3,085631;4,997604;6,209971;6,932212;3,139439;2,430141;3,299111;3,640975;6,273086;3,817067;4,456209;19,468313;;;;
AgNi 300 V2.txt;Ag;Ni;2;2;100;0,587953;0,613385;0,860149;1,025078;0,731479;0,553708;0,464319;0,590219;1,353426;1,136122;1,64224;2,408468;2,759477;18,480381;;;
AgNi 300 V3.txt;Ag;Ni;2;2;100;1,431538;1,447555;3,342768;4,876891;6,26895;9,226901;4,539436;7,309351;9,863568;15,059411;11,68811;0,919214;2,505272;9,214321;;;
Ag-Ni 50 V1.txt;Ag;Ni;2;2;100;1,511273;1,671132;2,192759;2,008464;1,717923;1,367953;1,362352;1,434275;1,6982;2,211571;3,657809;8,32581;8,876612;;;;
AgNi 10 V1-2.txt;Ag;Ni;2;2;100;4,481444;4,460669;4,178162;5,08181;6,139237;2,840213;3,031669;2,750502;7,23944;;;;;;;;
AgNi 10 V1.txt;Ag;Ni;2;2;100;3,455502;3,460193;5,137667;6,924409;;;;;;;;;;;;;
AgNi 10 V3.txt;Ag;Ni;2;2;100;1,146156;1,141539;1,306384;1,87125;1,152948;0,875117;0,558945;0,577957;0,624953;1,51723;;;;;;;
AgNi 10 V4-2.txt;Ag;Ni;2;2;100;0,477483;0,539228;0,606316;0,436833;0,396203;0,350442;0,331531;0,312703;0,444153;0,703705;1,776875;5,230519;;;;;
AgNi 10 V4.txt;Ag;Ni;2;2;100;0,46596;0,464073;1,765231;9,457892;;;;;;;;;;;;;
AgNi 10 V5 (V2 Wdh).txt;Ag;Ni;2;2;100;0,885235;0,950867;1,6457;1,373185;0,963887;0,634212;0,5775;0,621221;0,87596;2,855558;;;;;;;
AgNi 10 V5 NEU.txt;Ag;Ni;2;2;100;0,822879;0,883276;1,284296;0,840144;0,538821;0,436817;0,377822;0,267277;0,332203;0,442372;;;;;;;
AgNi 10 V6.txt;Ag;Ni;2;2;100;0,556859;0,797421;1,124729;0,869384;0,572439;0,420392;0,38992;0,366074;0,684718;1,327164;;;;;;;
AgNi 100 V1.txt;Ag;Ni;2;2;100;2,420642;2,418536;2,631105;2,610927;2,342924;2,202017;2,208432;2,772561;3,177902;9,492093;4,170329;5,073599;7,045673;;;;
AgNi 100 V2.txt;Ag;Ni;2;2;100;0,538282;0,575453;0,680295;0,598221;0,478611;0,42481;0,396619;0,614936;0,888877;1,053952;2,096864;1,471783;2,769406;;;;
AgNi 100 V3-2.txt;Ag;Ni;2;2;100;0,638122;0,638389;0,781566;0,773646;0,643605;0,501504;0,470837;0,659377;0,810386;1,258335;0,96736;3,936682;7,390329;4,71541;16,405063;;
AgNi 100 V4.txt;Ag;Ni;2;2;100;0,80447;0,799834;2,317044;2,774111;1,89378;1,154142;1,148326;0,934014;2,874464;3,770303;1,296401;2,347585;14,785449;;;;
AgNi 100 V5.txt;Ag;Ni;2;2;100;1,277155;1,274205;3,887815;7,160903;5,018191;0,644507;0,370712;0,47815;3,115394;1,432685;2,765235;2,501819;42,94879;;;;
AgNi 100 V6-2.txt;Ag;Ni;2;2;100;3,38368;3,38088;6,246951;14,762549;11,880456;4,956299;3,075576;3,171032;3,091708;3,183932;5,527935;;;;;;
AgNi 100 V6.txt;Ag;Ni;2;2;100;3,462229;3,512734;3,706903;4,493563;6,437699;19,948527;;;;;;;;;;;
AgNi 30 V1 Wdh 2.txt;Ag;Ni;2;2;100;0,622152;0,833617;0,696477;0,538305;0,440832;0,38776;0,355546;0,752467;0,877952;1,602218;2,440497;2,443117;5,521352;;;;
AgNi 30 V2.txt;Ag;Ni;2;2;100;5,310451;5,335224;5,382305;5,311983;5,242594;5,100944;4,931889;4,71422;4,656248;4,933875;7,035404;6,742361;11,176253;;;;
AgNi 30 V3-2.txt;Ag;Ni;2;2;100;1,345292;1,344143;1,405297;1,311663;1,215707;0,91987;0,831166;0,583726;0,58825;1,195385;2,439742;1,772386;9,200905;;;;
AgNi 30 V3.txt;Ag;Ni;2;2;100;1,992815;2,248562;10,080163;;;;;;;;;;;;;;
AgNi 30 V4-2.txt;Ag;Ni;2;2;100;0,967662;0,960701;0,760472;0,488838;0,49818;0,388587;0,446758;0,390369;0,356353;0,734263;2,476792;;;;;;
AgNi 30 V4.txt;Ag;Ni;2;2;100;1,10336;1,101306;22,764008;;;;;;;;;;;;;;
AgNi 30 V5.txt;Ag;Ni;2;2;100;1,858033;1,864927;1,872419;1,818945;1,777942;1,711854;1,670923;1,678439;1,98796;2,398731;3,788356;4,874159;;;;;
AgNi 300 V1 Wdh.txt;Ag;Ni;2;2;100;0,605413;1,210877;3,790433;8,492383;11,952234;5,200886;0,57733;0,532327;1,009663;3,222208;1,512925;2,998861;1,912821;3,359626;7,450465;38,25777;
AgNi 300 V2-2.txt;Ag;Ni;2;2;100;2,681893;3,085631;4,997604;6,209971;6,932212;3,139439;2,430141;3,299111;3,640975;6,273086;3,817067;4,456209;19,468313;;;;
AgNi 300 V3 Wdh.txt;Ag;Ni;2;2;100;1,109728;13,244042;19,43011;37,607476;33,355217;10,609697;7,897538;1,624779;0,756068;0,43184;7,555226;1,642021;1,898591;16,190514;6,485454;8,028087;
AgNi 300 V4 Neu.txt;Ag;Ni;2;2;100;0,587953;0,613385;0,860149;1,025078;0,731479;0,553708;0,464319;0,590219;1,353426;1,136122;1,64224;2,408468;2,759477;18,480381;;;
AgNi 300 V5.txt;Ag;Ni;2;2;100;1,771414;1,744471;2,015912;1,910659;1,934077;0,764213;0,534068;0,535327;0,787631;0,945509;4,073371;3,30261;2,37372;41,043706;89,825757;;
AgNi 300 V6.txt;Ag;Ni;2;2;100;1,431538;1,447555;3,342768;4,876891;6,26895;9,226901;4,539436;7,309351;9,863568;15,059411;11,68811;0,919214;2,505272;9,214321;;;
AgNi 300 V7-2.txt;Ag;Ni;2;2;100;0,789442;0,788761;0,790583;0,631419;0,585295;0,539578;0,517304;0,681765;0,890366;2,07706;8,167607;4,397627;18,486271;;;;
AgNi 300 V7.txt;Ag;Ni;2;2;100;1,890542;5,596283;9;9;;;;;;;;;;;;;
AgNi 5 V1.txt;Ag;Ni;2;2;100;0,438709;0,435017;0,3912;0,359496;0,342362;0,328195;0,314012;0,291972;0,284937;1,31143;;;;;;;
AgNi 5 V2.txt;Ag;Ni;2;2;100;0,500037;0,452483;0,435596;0,413454;0,391849;0,366804;0,341531;0,300085;0,597193;0,673413;;;;;;;
AgNi 5 V3.txt;Ag;Ni;2;2;100;1,215149;1,216255;1,451253;1,58506;1,143132;1,248773;1,279171;1,190468;3,552372;;;;;;;;
AgNi 5 V4.txt;Ag;Ni;2;2;100;2,226179;2,231804;2,205714;2,121339;2,10669;2,105038;2,094075;2,325705;2,161791;;;;;;;;
AgNi 5 V5.txt;Ag;Ni;2;2;100;2,224252;2,226047;2,264512;2,235454;2,189712;2,133726;2,14184;2,351305;2,468087;;;;;;;;
AgNi 50 V2.txt;Ag;Ni;2;2;100;2,027754;2,181011;2,26816;2,195397;2,137043;2,250089;2,854744;1,732486;2,189292;2,124426;4,647881;4,040618;5,236382;;;;
AgNi 50 V3.txt;Ag;Ni;2;2;100;;;;;;;;;;;;;;;;;
AgNi 50 V4-3.txt;Ag;Ni;2;2;100;0,526109;0,525597;0,647835;0,439436;0,361785;0,363738;0,452977;0,403679;0,902518;2,750029;1,864901;3,591222;6,688377;;;;
AgNi 50 V5.txt;Ag;Ni;2;2;100;0,48037;0,479958;0,762733;1,457006;1,701092;2,056871;3,31408;0,396965;1,259059;1,391097;2,228683;3,00837;2,267891;11,634704;;;
AgNi 300 V2-2.txt;Ag;Ni;2;2;100;2,681893;3,085631;4,997604;6,209971;6,932212;3,139439;2,430141;3,299111;3,640975;6,273086;3,817067;4,456209;19,468313;;;;
AgNi 300 V4 Neu.txt;Ag;Ni;2;2;100;0,587953;0,613385;0,860149;1,025078;0,731479;0,553708;0,464319;0,590219;1,353426;1,136122;1,64224;2,408468;2,759477;18,480381;;;
AgNi 300 V6.txt;Ag;Ni;2;2;100;1,431538;1,447555;3,342768;4,876891;6,26895;9,226901;4,539436;7,309351;9,863568;15,059411;11,68811;0,919214;2,505272;9,214321;;;
Ag_konventionell_150µm_300mOhm_V1.txt;Ag;Ni;2;2;150;0,574034;0,572544;0,967566;1,410397;1,716398;8,270574;22,722557;3,546833;4,697855;1,910514;13,710693;19,606533;165,402114;;;;
Ag_konventionell_150µm_300mOhm_V2.txt;Ag;Ni;2;2;150;0,979713;0,996383;3,462188;8,320116;10,494039;9,808942;2,656831;2,419255;4,990347;3,734055;12,204527;0,864761;;;;;
Ag_konventionell_200µm_300mOhm_V1.txt;Ag;Ni;2;2;200;2,538626;2,762182;3,135071;2,437897;2,313296;2,26602;2,253103;4,060699;19,711923;4,13418;13,720966;53,044196;;;;;
Ag_konventionell_200µm_300mOhm_V2.txt;Ag;Ni;2;2;200;0,587998;0,744521;1,096034;1,004923;1,406855;1,980163;1,782359;0,532055;21,108288;10,754773;2,238952;31,268019;;;;;
Sn 10 V1.txt;Sn;;2;2;100;0,236806;0,235598;0,257988;0,195755;0,239988;1,042521;1,782793;;;;;;;;;;
Sn 10 V2.txt;Sn;;2;2;100;0,515433;0,513971;0,671859;0,300728;0,308844;0,54866;1,28327;;;;;;;;;;
Sn 10 V3.txt;Sn;;2;2;100;0,587016;0,593582;0,640171;0,806343;0,245242;0,373134;1,621547;;;;;;;;;;
Sn 100 V1.txt;Sn;;2;2;100;1,561326;3,271742;7,929152;1,894883;6,7909;0,291145;6,150305;;;;;;;;;;
Sn 100 V2.txt;Sn;;2;2;100;1,954246;1,977391;1,958937;1,882466;2,223632;2,234282;2,458168;;;;;;;;;;
Sn 100 V3 EDX.txt;Sn;;2;2;100;1,250429;1,248825;1,236475;1,215531;1,456843;1,568068;2,334678;4,690731;71,455106;;;;;;;;
Sn 100 V4.txt;Sn;;2;2;100;0,638862;0,650697;0,524285;0,404168;0,371683;0,507161;0,892191;;;;;;;;;;
Sn 100 V5.txt;Sn;;2;2;100;7,07529;7,066477;5,702638;2,347434;0,438916;0,620476;0,954133;;;;;;;;;;
Sn 300 V1.txt;Sn;;2;2;100;1,328566;1,35286;1,345608;1,502503;1,545754;1,75411;2,762282;;;;;;;;;;
Sn 300 V2.txt;Sn;;2;2;100;1,585865;1,588139;1,578158;1,597833;1,645822;1,754485;2,385045;72,869368;;;;;;;;;
Sn 300 V3 EDX.txt;Sn;;2;2;100;1,126607;1,12778;1,0852;1,05296;1,097096;1,286946;1,612075;179,02793;;;;;;;;;
Sn 50 V1.txt;Sn;;2;2;100;1,466603;1,465837;1,460787;1,713874;1,890225;1,918301;2,927607;;;;;;;;;;
Sn 50 V2.txt;Sn;;2;2;100;2,092308;2,116577;2,065166;2,432685;13,66289;;;;;;;;;;;;
Sn 50 V3 EDX.txt;Sn;;2;2;100;1,692619;1,692212;1,650781;1,44578;1,460811;1,536469;1,994173;;;;;;;;;;
Sn 50 V4.txt;Sn;;2;2;100;0,422901;0,424441;0,390723;0,349582;0,372669;0,873278;1,048468;;;;;;;;;;
Sn 50 V5.txt;Sn;;2;2;100;3,862641;3,864152;1,683154;0,520005;0,431868;0,599327;1,187323;;;;;;;;;;